Num,Player,Wins,Losses,Win Pct,PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF Total,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PA8,PA Total,Pts Pct
1,Rooze,4,3,0.571428571428571,10,10,4,10,9,10,5,-,58,7,2,10,6,10,4,10,-,49,0.542056074766355
2,Kong,5,2,0.714285714285714,-,10,10,10,10,10,1,9,60,-,6,9,5,2,9,10,10,50,0.545454545454545
3,Della Grotte,2,5,0.285714285714286,6,9,5,4,6,10,-,10,50,10,10,10,10,10,8,-,9,67,0.427350427350427
4,Kramer,4,4,0.5,10,4,5,3,10,1,10,10,53,3,10,10,10,8,10,7,9,67,0.441666666666667
5,Bocci,3,4,0.428571428571429,10,9,-,10,8,10,4,1,52,7,10,-,5,10,9,10,10,61,0.460176991150442
6,Romeo,6,2,0.75,10,10,10,10,10,10,7,1,68,3,3,3,7,2,1,10,10,39,0.635514018691589
7,Cooper,5,3,0.625,10,8,10,10,10,7,7,10,72,6,10,3,3,3,10,10,1,46,0.610169491525424
8,Latt,5,2,0.714285714285714,10,10,8,10,9,-,10,10,67,8,9,10,3,10,-,2,1,43,0.609090909090909
9,Crash,3,5,0.375,7,3,5,3,10,10,9,10,57,10,10,10,10,7,7,10,8,72,0.441860465116279
10,Abs,4,4,0.5,10,9,10,7,10,9,5,10,70,4,10,5,10,9,10,10,8,66,0.514705882352941
11,Lineman,3,5,0.375,3,10,9,6,10,0,10,8,56,10,9,10,10,3,10,2,10,64,0.466666666666667
12,Obst,5,2,0.714285714285714,10,-,10,10,10,9,10,8,67,7,-,4,3,8,10,7,10,49,0.577586206896552
13,Struble,4,4,0.5,6,10,4,10,6,10,2,10,58,10,4,10,7,10,9,10,8,68,0.46031746031746
14,Shine,6,2,0.75,7,10,10,6,10,10,10,10,73,10,6,8,10,7,9,7,8,65,0.528985507246377
15,DiPesa,2,6,0.25,4,10,3,8,8,4,10,8,55,10,9,10,10,10,10,7,10,76,0.419847328244275
16,Mentle,4,4,0.5,4,10,3,5,10,10,10,8,60,10,2,10,10,9,7,5,10,63,0.487804878048781
17,Tex,1,7,0.125,6,6,10,3,9,0,7,9,50,10,10,5,10,10,10,10,10,75,0.4
18,House,2,5,0.285714285714286,10,2,10,3,-,1,2,9,37,6,10,5,10,-,10,10,10,61,0.377551020408163
19,Nate,4,4,0.5,10,1,4,7,10,7,10,10,59,8,10,10,10,8,10,4,9,69,0.4609375
20,Spike,5,3,0.625,10,8,9,10,10,9,10,10,76,4,10,10,8,6,10,9,9,66,0.535211267605634
21,Schmanske,4,3,0.571428571428571,10,1,10,-,3,10,5,10,49,6,10,8,-,10,1,10,2,47,0.510416666666667
22,Harris,6,2,0.75,10,10,10,10,7,9,10,10,76,4,9,3,4,10,10,5,2,47,0.617886178861789
23,Chess,3,5,0.375,8,4,10,10,8,10,9,2,61,10,10,3,6,10,8,10,10,67,0.4765625
24,Chesty,4,4,0.5,6,10,10,10,9,10,1,2,58,10,3,4,8,10,0,10,10,55,0.513274336283186
25,Ponzio,2,6,0.25,10,9,10,8,2,8,7,8,60,6,10,4,10,10,10,10,10,70,0.461538461538462
26,Watkins,2,6,0.25,7,3,10,4,10,1,4,8,47,10,10,9,10,9,10,10,10,78,0.376
27,Pound,5,3,0.625,4,10,5,3,10,10,10,10,62,10,1,10,10,8,4,1,8,52,0.543859649122807
28,Virgilio,5,3,0.625,10,10,10,5,3,10,5,10,63,4,4,5,10,10,1,10,8,52,0.547826086956522
29,Chisolm,4,4,0.5,7,10,8,10,8,1,10,10,64,10,8,10,4,10,10,1,5,58,0.524590163934426
30,Wee,4,4,0.5,4,2,4,10,2,10,10,10,52,10,10,10,3,10,1,9,5,58,0.472727272727273
31,Mary,6,2,0.75,10,10,3,10,10,10,10,5,68,7,1,10,3,6,0,5,10,47,0.591304347826087
32,Cureton,3,5,0.375,3,6,3,10,10,8,10,5,55,10,10,10,3,9,10,4,10,66,0.454545454545455
33,O’Leary,3,5,0.375,8,10,10,3,7,4,10,9,61,10,8,4,10,10,10,5,10,67,0.4765625
