Rank,Player,Win Pct,Pts Pct
1,Romeo,0.875,0.695
2,Scruggs,0.875,0.613
3,Tex,0.857,0.622
4,Kong,0.75,0.587
5,Spike,0.75,0.565
6,Mentle,0.714,0.57
7,Heitner,0.714,0.529
8,Lineman,0.625,0.569
9,Rechtin,0.625,0.554
10,Abs,0.625,0.547
11,O’Leary,0.625,0.54621
12,Harris,0.625,0.54615
13,Chesty,0.625,0.542
14,Aviv,0.625,0.529
15,Struble,0.625,0.511
16,Silberberg,0.571,0.544
17,Shutts,0.571,0.533
18,Hauer,0.571,0.52
19,Wee,0.571,0.496
20,Latt,0.5,0.561
21,DeWitt,0.5,0.526
22,Watkins,0.5,0.517
23,Bocci,0.5,0.5
24,Frankel,0.5,0.5
25,Cureton,0.5,0.493
26,Leibly,0.5,0.492
27,Chess,0.5,0.45
28,Obst,0.429,0.491
29,Rooze,0.429,0.466
30,Chisholm,0.429,0.464
31,Cooper,0.429,0.458
32,Virgilio,0.375,0.489
33,Pound,0.375,0.393
34,Ponzio,0.286,0.476
35,Fields,0.286,0.424
36,Crash,0.25,0.407
37,Della Grotte,0.25,0.397
38,DiPesa,0.25,0.392
39,House,0.143,0.43
40,Springo,0.143,0.416
41,West,0.143,0.389
42,Kramer,0.125,0.4
